Rwanda,61
Cuba ,53
UAE,50
Mexico ,50
New Zealand ,50
Iceland ,48
South Africa ,47
Sweden ,46
Finland ,46
Norway ,45
Argentina ,45
Denmark ,44
Spain ,43
Belgium ,43
Switzerland ,42
Austria ,41
Netherlands ,41
Australia ,38
France ,37
Portugal ,37
Armenia ,36
Germany ,35
UK ,35
Italy ,32
Canada ,30
USA ,29
Poland ,28
Egypt ,28
Estonia ,26
Czechia ,26
China ,25
Ireland,23
Israel ,23
Indonesia ,22
Bangladesh,21
Ukraine ,20
Pakistan ,20
Saudi Arabia ,20
South Korea ,19
Brazil ,18
Turkey ,17
Russia ,16
India ,15
Japan ,10
Iran ,6
Nigeria ,4
Yemen ,0
