South Africa ,60.7
Nigeria,53.4
Spain,27
Serbia,24.7
Sri Lanka,23.8
Greece,23.2
Albania,22.3
Romania,22.3
Sweden,22.1
Italy,22.09
Iran,21.6
China,21.3
Croatia,20
Slovakia,19.9
Portugal,19.2
Estonia,18.7
Luxembourg,18.5
Turkey,18
Jamaica,16.7
Cyprus,16.4
France,16.2
Belgium,14.2
United Kingdom,12.7
Taiwan,12.47
Finland,12.1
Hungary,12
 Austria,11.6
Denmark,11.5
Canada,11.3
Ireland,11.2
Poland,11.2
Norway,10.7
New Zealand,10.3
Slovenia,10.3
Czechia,9.8
Latvia,8.7
Netherlands,8.7
United States,8.6
Lithuania,8.4
Australia,8.3
Vietnam,7.41
Thailand,6.5
Hong Kong,6.3
Germany,5.6
South Korea,4.5
Japan,4.2
Kazakhstan,3.6
Switzerland,2.2
